LEAGUE COVERAGE
Country	League	Livescore	Schedules	Standings	Odds	Previews	Plan
Saudi Arabia	Saudi League	✓	✓	✓	✓	✓	Pro
Scotland	Premiership	✓	✓	✓	✓	✓	Basic
Scotland	Championship	✓	✓	✓	✓	✓	Plus
Scotland	Fa Cup	✓	✓	✓	✓	✓	Plus
Serbia	Super Liga	✓	✓	✓	✓	✓	Pro
Singapore	Premier League	✓	✓	✓	✓	✓	Pro
Slovakia	Super Liga	✓	✓	✓	✓	✓	Pro
Slovenia	1. Snl	✓	✓	✓	✓	✓	Pro
South Africa	Psl	✓	✓	✓	✓	✓	Pro
South Korea	K League 1	✓	✓	✓	✓	✓	Plus
Spain	La Liga	✓	✓	✓	✓	✓	Basic
Spain	Segunda Division	✓	✓	✓	✓	✓	Plus
Spain	Copa Del Rey	✓	✓	✓	✓	✓	Plus
Sweden	Allsvenskan	✓	✓	✓	✓	✓	Plus
Sweden	Superettan	✓	✓	✓	✓	✓	Plus
Switzerland	Super League	✓	✓	✓	✓	✓	Plus
Switzerland	Challenge League	✓	✓	✓	✓	✓	Plus
Thailand	Thai League 1	✓	✓	✓	✓	☓	Pro
Turkey	Super Lig	✓	✓	✓	✓	✓	Plus
Ukraine	Premier League	✓	✓	✓	✓	✓	Pro
Uruguay	Primera Division	✓	✓	✓	✓	✓	Pro
Usa	Usl Championship	✓	✓	✓	✓	✓	Plus
Usa	Mls	✓	✓	✓	✓	✓	Basic
Venezuela	Primera Division	✓	✓	✓	✓	☓	Pro
Wales	Premier League	✓	✓	✓	✓	✓	Pro
